id,name,platforms,offset
EP0896-PPSA35804_00-CODENAMEBLACKCRG,Codename: Black Crow PS4® & PS5®,"PS4, PS5",48
EP5470-PPSA33559_00-0974271985973537,Grind Survivors: Deluxe,PS5,48
EB2488-PPSA35892_00-0128404873527324,In Trusted Hands,"PS4, PS5",48
EP3315-PPSA23501_00-0711952021367732,Kids On Site - Hard Hat Edition,PS5,48
EP6718-PPSA36679_00-0008930287895989,Little Things,PS5,48
UB0108-PPSA37343_00-0841515938522662,Mighty Aphid,PS5,48
JB1941-PPSA37574_00-0148608759331446,Quartz Caverns,PS5,48
EP6556-PPSA35437_00-0381954446686953,Zumba World - The Marble Monster Adventure,PS5,48
HB1034-PPSA33307_00-0673671800586126,Froggy Hates Snow,PS5,48
UP2470-PPSA29453_00-MIXTAPE000000000,Mixtape,PS5,48
JP7332-PPSA33105_00-0252397066099209,Sunset Motel,PS5,48
EP3550-PPSA26057_00-SGDSAKURAEDPS5GP,Sengoku Dynasty - Sakura Edition,PS5,48
EB2535-PPSA36388_00-0378845982603751,WILL: Follow The Light,PS5,48
EP0096-PPSA20492_00-DEASIDETINYBUILD,"Deadside: ""tinyBuild Anniversary"" Special Edition",PS5,48
EP3111-PPSA33104_00-JANDUSOFT0000001,Evil Inside VR,PS5,48
EP8701-PPSA36765_00-0515013928597164,Noodlebound,"PS4, PS5",48
UB1022-PPSA36546_00-POCKETPUTTS000EU,Pocket Putts,PS5,48
UB1022-PPSA36546_00-POCKETPUBUNDLEEU,Pocket Putts (PS4 & PS5),"PS4, PS5",72
JP1663-PPSA35956_00-0545940265568496,Abuga Warp Zone,PS5,72
JP0571-PPSA33317_00-HAMPRDC000000001,Arcade Archives 2 ARKANOID,PS5,72
HP6885-PPSA29247_00-BAHAMUTPST5FINAL,BAHAMUT AND THE WAQWAQ TREE,PS5,72
JP0571-PPSA31294_00-HAMPRDC000000001,Console Archives MAGMAX,PS5,72
UP2005-PPSA35905_00-DOLLDEFENDERS000,Doll Defenders PS4 & PS5,"PS4, PS5",72
HB1179-PPSA32765_00-0486991519684660,Greedland,PS5,72
EP7009-PPSA34568_00-0079497649567138,Haneda Girl,PS5,72
JB2357-PPSA37239_00-EUROPE0000000000,Shattered Frames 4: Micro Worlds,PS5,72
EP6985-PPSA34915_00-0500111232993817,Versebound,PS5,72
EP8073-PPSA34353_00-TRI6INFINITE2000,Tri6: Infinite 2,PS5,72
UB1027-PPSA25041_00-0129055730840630,I Am Cat,PS5,72
EP4395-PPSA23123_00-SIEEFTKAGEOFOMUS,For The King II: Age of Omus Edition,"PS4, PS5",72
EP2649-PPSA36581_00-0258959709525610,Police Car Simulator : EVO,PS5,72
HB1069-PPSA35831_00-0874244084855219,Pool Hop 2,PS5,72
EP5077-PPSA37355_00-0032941078154943,Dungeonloop,"PS4, PS5",72
UP2005-PPSA34365_00-THETAGALONGOBSES,THE TAG-ALONG OBSESSION,PS5,72
UP5155-PPSA35322_00-MOTORSLICE000000,MOTORSLICE,PS5,72
EP4395-PPSA35751_00-00000WAXHEADSPS5,Wax Heads,PS5,72
EP8701-PPSA36726_00-0323220541895813,Golem Lights,"PS4, PS5",72
EP5645-PPSA32673_00-0104303643379348,GROWTH,PS5,72
EB1103-PPSA37732_00-0545390446045855,Solar Machina,"PS4, PS5",72
EP7099-PPSA23745_00-AIRSHIPAXECOPRPG,Axe Cop,"PS4, PS5",72
UB0569-PPSA37770_00-BRAINROTEVOLUPS5,Brainrots Evolution,PS5,72
EB0933-PPSA37356_00-0247839604033737,Mash Motion: Sprint Rush,"PS4, PS5",96
UB0008-PPSA36881_00-0647400985623220,Archery King,PS5,96
EP5506-PPSA36337_00-DAMSELSINDISTPS5,Damsels in Distress,PS5,96
UB0202-PPSA29415_00-0084472210136540,Constance,PS5,96
UB2057-PPSA36402_00-0388094049900208,LogIQ Boost,PS5,96
UB0008-PPSA37599_00-0424869422366430,Thornkin,PS5,96
EP1411-PPSA36988_00-0288034211971347,Jewel Match Solitaire X,PS5,96
UB0837-PPSA36331_00-0014306253012444,Dr. Psycho: Hospital Escape,PS5,96
EP6922-PPSA27869_00-0980825177012188,Asphalt Racing Bundle Grand Prix & Hypercar,"PS4, PS5",96
EP1661-PPSA06641_00-SYPS5BRIGHTLIGHT,Bright Lights of Svetlov,PS5,96
EP6556-PPSA30949_00-0117027476789323,Demon Huntress,PS5,96
UB0108-PPSA37121_00-0285929599834652,Moon Raider: Anniversary Edition,PS5,96
EP1612-PPSA37569_00-HIDDENNINJADOJO0,Pixicharm - Hidden Ninja Dojo,PS5,96
EP0896-PPSA35540_00-PLANTERA2RATGAMS,Plantera 2: Golden Acorn,"PS4, PS5",96
EP5938-PPSA31771_00-097600THISISFINE,This is Fine: Maximum Cope,PS5,96
UB0337-PPSA36315_00-0928610344392045,Tippy Pads,PS5,96
UP2908-PPSA30568_00-INVINCIBLEVSMAIN,Invincible VS,PS5,96
UP2908-PPSA30568_00-INVINCIBLEVSDLXE,Invincible VS - Deluxe Edition,PS5,96
UP0781-PPSA29765_00-SURVIVORMERCSSGU,Survivor Mercs,PS5,96
EP8208-PPSA31885_00-WINXCLUB00000001,Winx Club: The Magic is Back,PS5,96
JP6400-PPSA34744_00-0962518737861580,Dungeon Clawler,PS5,96
EP3652-PPSA34178_00-0353057207296852,Strange Antiquities,"PS4, PS5",96
EP6853-PPSA22482_00-PROJECTBEE000000,Bus Bound,PS5,96
EP6853-PPSA22482_00-BUSBOUNDDE000000,Bus Bound - Deluxe Edition,PS5,96
EP4405-PPSA35060_00-0040750088449602,Lord Ambermaze,PS5,120
HB1359-PPSA31832_00-0654821047397754,The Shore,PS5,120
EP0822-PPSA36381_00-THECOMA300000PS5,The Coma 3: Bloodlines,"PS4, PS5",120
JP5134-PPSA24262_00-0277607031765494,inKONBINI: One Store. Many Stories,PS5,120
JP5134-PPSA24262_00-0049071297725794,inKONBINI: One Store. Many Stories Digital Deluxe Edition,PS5,120
EP8701-PPSA36843_00-0678272626592639,Honey Sprint,"PS4, PS5",120
JB0540-PPSA23430_00-0276171016886652,KIBORG + DESCENT,"PS4, PS5",120
EP6252-PPSA28988_00-MAGICTWINSPS5EUR,Magic Twins,PS5,120
HB1119-PPSA34759_00-0072640697218115,ScooterFlow,PS5,120
EB1103-PPSA37606_00-0182125939500444,Spooky Cooking,"PS4, PS5",120
UP4293-PPSA35106_00-0986782830301358,Adorable Adventures,PS5,120
JP0571-PPSA36025_00-HAMPRDC000000001,Arcade Archives 2 CYBER COMMANDO,PS5,120
EP2011-PPSA29148_00-0656666846972599,Bandit Trap,PS5,120
EB2433-PPSA37512_00-BLACKHOLE000SIEE,Blackhole Incremental,PS5,120
JP0571-PPSA32204_00-HAMPRDC000000001,Console Archives Rohga: Armor Force,PS5,120
UB0675-PPSA26516_00-0609381023413073,Idle Devils (Deluxe Edition),PS5,120
UB0675-PPSA26516_00-0163638088390094,Idle Devils(Ultimate Edition),PS5,120
HP5035-PPSA35525_00-LOVETOOEASILY200,Love Too Easily 2: Summer Pocha,PS5,120
HP5035-PPSA35525_00-LOVETOOEASILYSET,Love Too Easily Bundle,PS5,120
EP5098-PPSA36916_00-0906911301577227,Monster Crown: Sin Eater,PS5,120
EP9000-PPSA07631_00-SAROS00000000000,SAROS,PS5,120
UB0675-PPSA36690_00-0641285014312560,Survivor Legion,PS5,120
EP8923-PPSA18203_00-MAGIN000000PS5EU,Magin: The Rat Project Stories,PS5,120
EP8923-PPSA18203_00-MAGINDELUXEPS5EU,Magin: The Rat Project Stories Essence Edition,PS5,120
UP1181-PPSA36982_00-0050775809389403,Save My Scrap,PS5,144
EP7520-PPSA34310_00-0884917568038289,The Spell Brigade,PS5,144
EP7520-PPSA34310_00-THESPELLBRIGADE1,The Spell Brigade,PS5,144
UP2660-PPSA34003_00-0185371045862545,Gunboat God,PS5,144
UB1022-PPSA31632_00-BANANADASHBUNDEU,Banana Dash (PS4 & PS5),"PS4, PS5",144
UB1022-PPSA32041_00-GLINTTRIALBUNDEU,Glint's Trial (PS4 & PS5),"PS4, PS5",144
UB1022-PPSA31640_00-MONKEYLOSTBUNDEU,Monkey Lost (PS4 & PS5),"PS4, PS5",144
UB1022-PPSA31636_00-OHCANADABUNDLENA,"Oh, Canada! (PS4 & PS5)","PS4, PS5",144
UB1022-PPSA31285_00-BROTHERSDUTYBUEU,Brothers in Duty – Space Brawl (PS4 & PS5),"PS4, PS5",144
UB1022-PPSA31281_00-BACKRMAZEBUNDLEU,The Backrooms: Maze Escape (PS4 & PS5),"PS4, PS5",144
UB1244-PPSA26558_00-PWRDNTEGB0000000,NTE: Neverness to Everness,PS5,144
UP2005-PPSA35251_00-CYBERBLOCKERCOMP,CyberBlocker Complete Edition PS4 & PS5,"PS4, PS5",144
EP4356-PPSA32557_00-MOTOGP26FULLGAME,MotoGP™26,PS5,144
UP0097-PPSA32810_00-DRILLCOREGAME000,Drill Core,PS5,144
UP5155-PPSA32706_00-ELEMENTALLIS0000,Elementallis,"PS4, PS5",144
UP7939-PPSA34076_00-0970537708027864,Hacked: The Streamer,PS5,144
UP5898-PPSA13446_00-0865980915793507,Aphelion,PS5,144
EP2649-PPSA33620_00-0532307713327691,Bus Simulator : World Tour & EVO,"PS4, PS5",144
HB1069-PPSA35516_00-0806568326778420,Truck Driver's License,PS5,144
EP0002-PPSA08595_00-DIVLOHCOMBO00000,Diablo® IV: Age of Hatred Collection,"PS4, PS5",144
EP1561-PPSA34465_00-0029725333339648,Rival Stars Horse Racing,PS5,144
EP9000-PPSA07631_00-SAROSDELUXE00000,SAROS Digital Deluxe Edition,PS5,144
JP1309-PPSA34214_00-SPYDROPSPS500000,Spy Drops,PS5,144
UB1022-PPSA34647_00-ACEHELIPILOT00EU,Ace Heli Pilot,PS5,144
UB1022-PPSA34647_00-ACEHELIBUNDLEEU0,Ace Heli Pilot (PS4 & PS5),"PS4, PS5",168
EB1103-PPSA37659_00-0603581575163255,Kyra The Hunter,"PS4, PS5",168
EP8743-PPSA37273_00-ORBOFPETALSGAMES,Orb of Petals PS4® & PS5®,"PS4, PS5",168
UP7578-PPSA28851_00-0223591243988561,Casual Sport Series: Racket Sports Bundle,PS5,168
UP7168-PPSA29572_00-0916168297335172,IRON GUARD VR Bundle,PS5,168
UB0008-PPSA37294_00-0082422270130958,Outbreak Compound,PS5,168
EP8472-PPSA35481_00-0883679232022590,For Luna the Bell Tolls,PS5,168
EP5645-PPSA36101_00-000LEARNMANDARIN,Learn Basic Mandarin!!,PS5,168
EP2627-PPSA36442_00-LASSPLANESDELUXE,Kamikaze Lassplanes,PS5,168
EP2627-PPSA36442_00-LASSPLANESPS5000,Kamikaze Lassplanes,PS5,168
EP6444-PPSA21827_00-0007573299441097,Sir Whoopass: Immortal Death - Premium Edition,PS5,168
UB0008-PPSA37153_00-0836379445304776,Skyforge Trails,PS5,168
UB0837-PPSA35915_00-0018176653096083,DOLLMAKER,PS5,168
UP8278-PPSA36867_00-0467460070667270,Indoor Baseball,PS5,168
UB1022-PPSA35264_00-WORDRESCUE0000EU,Word Rescue,PS5,168
UB1022-PPSA35264_00-WORDRESCUEBUNDEU,Word Rescue (PS4 & PS5),"PS4, PS5",168
HB1334-PPSA36443_00-0491751392715718,COWBOY SIMULATOR,PS5,168
HB1689-PPSA36883_00-0857993763647064,Farm Simulator 2026,PS5,168
EP4008-CUSA15604_00-0741795147192805,Bee Simulator: The Hive Upgrade Pack,"PS4, PS5",168
UP7276-PPSA33601_00-DEVIDICON0000000,Devidicon,PS5,168
EP6556-PPSA34723_00-0433022263261020,Emoji Battlefield - Summer Vacation,PS5,168
UP6718-PPSA36356_00-0921989720540026,Floor 9,PS5,168
UB0108-PPSA36777_00-0085153930983991,Guts 'n Grunts Sr.,PS5,168
EP0700-PPSA31228_00-LITTLENIGHTSVR01,Little Nightmares VR: Altered Echoes,PS5,168
EP1730-PPSA34084_00-0613923789441244,OBLITACRATER,PS5,192
EP0896-PPSA35805_00-TRAYSIARATAGAMES,Traysia PS4® & PS5®,"PS4, PS5",192
EP7123-PPSA36425_00-0301959328744539,Zen Wash,PS5,192
UB2090-PPSA33916_00-0375848094285363,Starstruck Vagabond,PS5,192
UB1022-PPSA26407_00-MATHGENMULTBUNEU,Math Genius: Multiplication (PS4 & PS5),"PS4, PS5",192
UB1022-PPSA28588_00-MATHGENIUSADBUEU,Math Genius: Subtraction (PS4 & PS5),"PS4, PS5",192
UB1022-PPSA28681_00-MATHGENDIVIBUNEU,Math Genius: Division (PS4 & PS5),"PS4, PS5",192
EP0822-PPSA33293_00-CAUSALLOOP000PS5,Causal Loop,PS5,192
UP6312-PPSA34512_00-KILN000000000000,Kiln,PS5,192
UP6312-PPSA34512_00-KILN000000000003,Kiln Fired Up Edition,PS5,192
EP5360-PPSA23677_00-0912363659425062,Planet of Lana II - Supporter Edition,"PS4, PS5",192
EP4365-PPSA28664_00-000SUDDENSTRIKE5,Sudden Strike 5,PS5,192
UP8767-PPSA36598_00-0909176058890099,Stickin' the Landing,"PS4, PS5",192
UB1664-PPSA33491_00-0958610193558718,Kristala,PS5,192
JP5530-PPSA28746_00-0313634917495680,CRUELTY,PS5,192
EB1103-PPSA37213_00-0223835588461746,Mega Shoot,"PS4, PS5",192
JP0571-PPSA35866_00-HAMPRDC000000001,Arcade Archives 2 STREET SMART,PS5,192
JP0571-PPSA31302_00-HAMPRDC000000001,Console Archives Ninja Gaiden III: The Ancient Ship of Doom,PS5,192
UP2011-PPSA31210_00-0904761220083251,Dragon Is Dead,PS5,192
JP1368-PPSA34247_00-KINGDOMRAPPWW000,Kingdom's Return: Time-Eating Fruit and the Ancient Monster,PS5,192
JB0500-PPSA34747_00-0421229207903848,Rumbral,PS5,192
HB1179-PPSA34981_00-0398369473328865,Star Fire: Eternal Cycle,PS5,192
EP2598-PPSA33643_00-0330098075525935,Dark Hours,PS5,192
EP0001-PPSA01372_00-RRDELUXEED000000,Riders Republic Deluxe Edition,"PS4, PS5",192
EP0001-PPSA01372_00-RRPREMIUMED00000,Riders Republic Premium Edition,"PS4, PS5",216
JP0202-PPSA35472_00-APPRAISERPS50001,"GAME The Strongest Job Is Apparently Not a Hero or a Sage, but an Appraiser (Provisional)!~Dungeon and Mystery Girl~",PS5,216
EP4389-PPSA29986_00-TIDESOFTOMORROW1,Tides of Tomorrow,PS5,216
EP5987-PPSA34481_00-ULGPRIESTBUNDLE1,Priest Simulator x Crime Simulator,PS5,216
EP5987-PPSA34481_00-ULGPRIESTBUNDLE0,Priest Simulator x Her Ghost DLC,PS5,216
UP2005-PPSA35589_00-GLUMEGAME0000000,GluMe PS4 & PS5,"PS4, PS5",216
EP5645-PPSA36092_00-00000LEARNHANGUL,Learn Hangul!!,PS5,216
UB0134-PPSA30703_00-0033478242037726,Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,PS5,216
EP4062-PPSA03099_00-DISAGA000000SIEE,Dead Island - Series Bundle,"PS4, PS5",216
EP1470-PPSA36031_00-0552844424953124,Drop Duchy - Complete Edition,PS5,216
EP4389-PPSA04735_00-MXL2026DELBUNDLE,MX vs ATV Legends - 2026 Deluxe Edition,"PS4, PS5",216
EP4389-PPSA04735_00-MXL2026ULTBUNDLE,MX vs ATV Legends - 2026 Ultimate Edition,"PS4, PS5",216
EB1103-PPSA37461_00-0029191087906395,Capy Cakes,"PS4, PS5",216
UP9000-PPSA23536_00-SLUS212920000000,Wild Arms™ 4,"PS4, PS5",216
EP6138-PPSA36634_00-0798750874428379,Alt Girl for Skoof - ALTiversary Edition,PS5,216
UB1022-PPSA35962_00-UNTAMEDISLE000EU,Untamed Isle,PS5,216
UB1022-PPSA35962_00-UNTAMEDISLEBUNEU,Untamed Isle (PS4 & PS5),"PS4, PS5",216
JB1263-PPSA26936_00-0776706959062105,CTHULOOT,PS5,216
EP1546-PPSA35085_00-0332967295331507,The End of the Sun,PS5,216
EP6625-PPSA29618_00-CONTRABANDDDS000,Contraband Police x Drug Dealer Simulator,"PS4, PS5",216
UP0182-PPSA34438_00-SNOOCHTOTHENOOCH,Jay and Silent Bob: Chronic Blunt Punch,PS5,216
EP4365-PPSA28664_00-000DELUXEEDITION,Sudden Strike 5 - Deluxe Edition,PS5,216
EP6665-PPSA09259_00-HIU00COLLECTION1,RoboCop : Rogue City Collection + Hell is Us,PS5,216
EB0629-PPSA34454_00-0161790417781107,Cazzarion: Laser Puzzle,PS5,216
UP4836-PPSA33373_00-0658522918396948,Saint Slayer: Spear of Sacrilege,"PS4, PS5",240
EP5077-PPSA31829_00-0482287271608915,Boned Again: Survivors,"PS4, PS5",240
EB0901-PPSA36928_00-0339331084378749,Stretchy adventure,PS5,240
UB1022-PPSA31269_00-TRALALASLOTSBUEU,TRALALERO TRALALA Slot Machine Casino Heaven (PS4 & PS5),"PS4, PS5",240
UB1022-PPSA31265_00-CLASSICPONGBUNEU,Classic Arcades: Pong (PS4 & PS5),"PS4, PS5",240
UB0008-PPSA37202_00-0872697681792251,Cook the Word,PS5,240
JB1981-PPSA35387_00-0618276101240247,Cralon,PS5,240
UB0008-PPSA37079_00-0475960982058756,Code Blue,PS5,240
EP7123-PPSA36857_00-0021070753569225,Micro Race R2,PS5,240
UB1022-PPSA34700_00-SCRAMBLEMANIA0EU,Scramble Mania,PS5,240
UB1022-PPSA34700_00-SCRAMBLEBUNDLEEU,Scramble Mania (PS4 & PS5),"PS4, PS5",240
EP3111-PPSA36148_00-JANDUSOFT0000001,The Empty Desk,PS5,240
UB1052-PPSA35515_00-0268802904361681,Caga tio + San Jorge,"PS4, PS5",240
JP0013-PPSA26912_00-JP0DECODECO00PS5,Decollate Decoration,"PS4, PS5",240
JB1941-PPSA37147_00-0023420102023136,Cyber Lab,PS5,240
UP7931-PPSA32154_00-0229895026373166,Dobo's Heroes,PS5,240
UP5877-PPSA27998_00-0124488621324763,FPSCAM Trilogy,PS5,240
EP0896-PPSA27671_00-GUNSANDBULLETSRG,Guns and Bullets Bundle PS4® & PS5®,"PS4, PS5",240
EP6718-PPSA35203_00-0043878769031498,Inhuman Resources: A Literary Machination,PS5,240
EP6556-PPSA30946_00-0233609854800732,King of Gladiators,PS5,240
UP0102-PPSA02530_00-PRAGMATA00000000,PRAGMATA,PS5,240
UP0102-PPSA02530_00-PRAGMATADX000000,PRAGMATA Deluxe Edition,PS5,240
UB0337-PPSA36183_00-0264723542602790,Spin Path 2,PS5,240
UB1022-PPSA32084_00-VIKINGVENTURBUEU,Viking Ventures (PS4 & PS5),"PS4, PS5",240
UB0827-PPSA37197_00-0351097416794068,WORD SEARCH BY JGABRIB,PS5,264
UB1022-PPSA29631_00-REMEASTERBUNDLEU,Remember Easter (PS4 & PS5),"PS4, PS5",264
UB1022-PPSA28545_00-REMSTPATRICKBUEU,Remember Saint Patrick (PS4 & PS5),"PS4, PS5",264
UP6312-PPSA36115_00-0847400219608426,Microsoft Flight Simulator 2024 Beta,PS5,264
UP3181-PPSA34940_00-0177797057425465,Under Par Golf Architect,PS5,264
UP3181-PPSA34940_00-0878132974589396,Under Par Golf Architect Deluxe Edition,PS5,264
UP1980-PPSA28678_00-0936175442216995,Chip ‘n Clawz vs. The Brainioids - Big Brain Edition,PS5,264
UB0787-PPSA31689_00-0519098494040675,Death By Scrolling,PS5,264
HP6701-PPSA32528_00-0794106916020742,Nullstar: Solus,PS5,264
EP4133-PPSA10695_00-ATOMICHEARTULTIM,Atomic Heart - Ultimate Edition,"PS4, PS5",264
UP2430-PPSA26578_00-PLYXFUMIMOUSEPS5,MOUSE: P.I. For Hire,PS5,264
HB1593-PPSA34513_00-08166597PEPPERED,PEPPERED: An Existential Platformer,PS5,264
EP5987-PPSA34481_00-ULGPRIESTSIM0001,Priest Simulator: Vampire Show,PS5,264
EP5418-PPSA11407_00-SRCOMPLETEDUALIP,Synth Riders + Complete Music Collection,PS5,264
EP5418-PPSA11407_00-SRPLUSDUALIPAPS5,Synth Riders + Dua Lipa Music Pack,PS5,264
EP4064-PPSA07582_00-0297077798404806,Ship of Fools - Completely Foolish Edition,PS5,264
JP6928-PPSA30676_00-0313103760762087,Ground Zero,PS5,264
EP6665-PPSA28868_00-CTCA000000000000,Cthulhu: The Cosmic Abyss,PS5,264
EP6665-PPSA28868_00-CTCA0DELUXE00001,Cthulhu: The Cosmic Abyss - R'lyeh Edition,PS5,264
EP6325-PPSA33221_00-0259809898255734,Ereban: Shadow Legacy,PS5,264
EP1464-PPSA36637_00-FNSTWBNDL0000000,Fortnite Save the World,PS5,264
EP1464-PPSA01923_00-FNSTWBNDL0000000,Fortnite Save the World,PS5,264
EP1411-PPSA36743_00-0765729880800002,Solitaire Crime Stories Chapter 3,PS5,264
HB1069-PPSA34457_00-0652466010074903,Elevator Mayhem,PS5,264
HB1511-PPSA35127_00-0744163930590757,Starward,PS5,288
JP5071-PPSA24771_00-0788466671732015,FALLEN : FATAL FORCE,PS5,288
UB1022-PPSA28384_00-REMEMBERVALBUNEU,Remember Valentine (PS4 & PS5),"PS4, PS5",288
JP0571-PPSA35466_00-HAMPRDC000000001,Arcade Archives 2 KONAMI GT,PS5,288
JP0571-PPSA31304_00-HAMPRDC000000001,Console Archives Ishin no Arashi,PS5,288
EP6985-PPSA36602_00-0530043931735526,Find My Frogs,PS5,288
EP6930-PPSA19536_00-0600492331738741,Gecko Gods,PS5,288
EP2946-PPSA35760_00-0887638701095668,Smash it Wild,PS5,288
EP0981-PPSA34587_00-0948365632209716,The Day I Became a Bird,PS5,288
EP0981-PPSA34587_00-0024656352566077,The Day I Became A Bird - Feathered Adventurer Edition,PS5,288
UP5549-PPSA32704_00-0949626875546414,Without a Dawn,PS5,288
UB0487-PPSA36360_00-0163815175797758,Santa Slide Rush,"PS4, PS5",288
UP6527-PPSA34850_00-0377153879635982,Cleaning Up!,PS5,288
UP1821-PPSA10990_00-1887411884729257,Roblox,PS5,288
EP5645-PPSA36097_00-0LEARNBASICKANJI,Learn Basic Kanji!!,PS5,288
UP2005-PPSA35821_00-PENGILOGAME00000,Pengilo PS4 & PS5,"PS4, PS5",288
EB2067-PPSA35735_00-0031826358712720,Pixel Puzzles SPACE Jigsaws,"PS4, PS5",288
EP4484-PPSA36082_00-0912328937643383,Hades II,PS5,288
UP4063-PPSA31534_00-0194121456613142,Dosa Divas,PS5,288
EP8204-PPSA16852_00-PSSPARASOLSPS5EU,Parasol Superstars,PS5,288
EP8204-PPSA19766_00-SPICAADVENTPS5EU,Spica Adventure,PS5,288
